"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"257",257,"Cubic Poly","28.2875447544769","Cubic Poly","34.9542114211436","Cubic Poly","31.827795759988"
"258",258,"Cubic Poly","-43.9782535386829","Cubic Poly","-41.2509808114102","Cubic Poly","-37.3172309878069"
"259",259,"Cubic Poly","35.63813461971","Cubic Poly","39.1675463844158","Cubic Poly","41.3156056993557"
"260",260,"Cubic Poly","10.4167093578422","Cubic Poly","17.9167093578422","Cubic Poly","13.6119960059185"
"261",261,"Cubic Poly","15.3763040172748","Cubic Poly","22.0429706839415","Cubic Poly","18.9165550227859"
"262",262,"Cubic Poly","-55.4943994461748","Cubic Poly","-52.7671267189021","Cubic Poly","-48.8333768952988"
"263",263,"Grompertz","30.939060720495","Grompertz","34.4684724852009","Grompertz","36.6165318001408"
"264",264,"Cubic Poly","8.83594677040288","Cubic Poly","14.8359467704029","Cubic Poly","12.6988903816018"
"265",265,"Cubic Poly","14.0729899975574","Cubic Poly","20.0729899975574","Cubic Poly","17.9359336087563"
"266",266,"Cubic Poly","111.604799210224","Cubic Poly","112.909147036311","Cubic Poly","121.361017803131"
"267",267,"Cubic Poly","88.5880543473857","Cubic Poly","89.8380543473857","Cubic Poly","98.5329745802071"
"268",268,"Cubic Poly","59.1850029139823","Cubic Poly","60.2376344929297","Cubic Poly","69.90067654594"
"269",269,"Cubic Poly","59.8234676077429","Cubic Poly","60.8234676077429","Cubic Poly","70.771741317875"
"270",270,"Grompertz","123.195030831873","Grompertz","124.371501420109","Grompertz","133.410287171046"
"271",271,"Cubic Poly","-3.09529120872575","Cubic Poly","16.9047087912742","Cubic Poly","-2.10916832204465"
"272",272,"Cubic Poly","1.12079149852075","Cubic Poly","5.40650578423504","Cubic Poly","6.09945286629071"
"273",273,"Cubic Poly","31.1168567535212","Cubic Poly","38.6168567535212","Cubic Poly","34.3121434015975"
"274",274,"Cubic Poly","25.5128975096303","Cubic Poly","30.9674429641757","Cubic Poly","29.6789642299113"
"275",275,"Cubic Poly","28.9799947397845","Cubic Poly","35.6466614064511","Cubic Poly","32.5202457452955"
"276",276,"Cubic Poly","20.7238567834636","Cubic Poly","29.2952853548922","Cubic Poly","23.5486035707713"
"277",277,"Cubic Poly","-62.0001762090164","Cubic Poly","-59.2729034817437","Cubic Poly","-55.3391536581404"
